Timestamp,"So, how did the whole session feel for you?",Has this session helped you become more confident in speaking English?,Was the Hangout Group session a comfortable space for you to speak English?,Are you interested in joining our next session?,"Any thoughts, suggestions, or even criticism? We’re open to hearing it all guys~
— feel free to use English or Bahasa Indonesia!",What's your LinkedIn URL?,Column 1
7/19/2025 20:57:11,5,5,3,YES!!!,,,
7/19/2025 20:57:20,5,5,5,YES!!!,We should talk about literally anything,I have none,
7/19/2025 20:57:23,5,5,5,YES!!!,,https://www.linkedin.com/in/sheehanyudhistira?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,
7/19/2025 20:57:29,5,5,5,YES!!!,,,
7/19/2025 20:57:49,5,5,5,YES!!!,Mungkin acaranya jangan malam2 kalau bisa hehe,,
7/19/2025 21:02:34,5,5,3,YES!!!,Kasih topik sebelum mulai supaya group discussionnya lebih enak,https://www.linkedin.com/in/alfinarizkyl,
8/1/2025 20:55:38,5,4,4,YES!!!,,,
8/1/2025 20:56:07,4,4,5,YES!!!,,,
8/1/2025 20:56:22,5,5,5,YES!!!,It's some great new experience:),,
8/1/2025 20:56:49,3,3,3,YES!!!,No way,,
8/1/2025 20:57:00,5,5,5,YES!!!,Switching with another group every 30 minutes maybe. So we could talk with another person. I'd love a longer session.,,
8/1/2025 20:58:05,5,5,5,YES!!!,Make it’s time/duration longer!,,
8/1/2025 20:58:07,4,3,4,YES!!!,"Its good and fun, i’ve got new experience and meeting new friendly people. All the best for Keminggress😊",,
8/1/2025 20:58:09,3,4,5,YES!!!,"I'm kinda curious w/ other ppl personality tho, if there're spesific season so we can know each other n connect, i think it'd be cool rather than connected few ppl on group session. But overall nice, keep on making this sustain pls~",,
8/1/2025 20:58:18,4,3,4,YES!!!,"I think this is good idea, but i feel so crowded and get so many voices at one room, so i need to speak louder and that makes us not comfortable tbh, but overall so good",,
8/1/2025 20:59:57,3,3,3,YES!!!,,,
8/1/2025 22:45:37,5,5,5,YES!!!,I really enjoyed the session! It was fun and engaging. The games were exciting and helped me practice speaking in a relaxed way. I felt more confident using English because of the activities,,
8/9/2025 20:39:47,5,5,5,YES!!!,Another fun game maybe?,,
8/9/2025 20:40:38,5,5,5,YES!!!,,,
8/9/2025 20:40:42,5,5,4,YES!!!,,,
8/9/2025 20:41:08,5,5,5,YES!!!,,,
8/9/2025 20:41:26,5,5,5,YES!!!,More time hihi,,
8/9/2025 20:42:32,5,5,5,YES!!!,,,
8/9/2025 20:42:44,4,5,4,YES!!!,"Have a dinner session, perhaps?",,
8/9/2025 20:42:45,5,5,5,YES!!!,More time and maybe switch teams would be fun~,,
8/9/2025 20:43:10,4,5,5,YES!!!,Pen join lagi next weekday wkwkwk,,
