Timestamp,"So, how did the whole session feel for you?",Has this session helped you become more confident in speaking English?,Was the Hangout Group session a comfortable space for you to speak English?,Are you interested in joining our next session?,"Any thoughts, suggestions, or even criticism? We’re open to hearing it all guys~
— feel free to use English or Bahasa Indonesia!","Shoutout!
Give a quick appreciation to someone in the session who stood out to you.

Example: “Shoutout to Agus for being really kind and helping me translate Indonesian to English.”   

— feel free to use English or Bahasa Indonesia! :)",What’s the name of your MOMOD hangout tonight?,"Any thoughts, suggestions, or even criticism for the moderator? We’re open to hearing it all guys~
— feel free to use English or Bahasa Indonesia!"
9/20/2025 20:34:00,5,4,5,YES!!!,So far so good,,Sheehan,
9/20/2025 20:34:14,5,5,5,YES!!!,,,Erina,
9/20/2025 20:34:17,5,5,5,YES!!!,,Shout out to Kak Aul and Kak Tifa!!! It was fun to talk with you guys!,Aulia,Everything is fine 🙌🏽
9/20/2025 20:34:34,5,5,5,YES!!!,Just good! Exciting,Mr. Yusuf,Ucup :),he's such a creative person yet fun! Cant wait to be in his section again
9/20/2025 20:35:27,5,5,5,YES!!!,more music I guess wkwkwkwkwk kyk opening2 gituuuu,"kak lilaaaa and yudis are so warm and comfy to talkkkk, we can collaboration in our workshop @theafterfive.club",Lilla,u guys are so great and chill
9/20/2025 20:36:03,5,5,5,YES!!!,everything was fun,,Aulia,its all fine. mba aul is really good at listening and always ask for a new topic to talk 
9/20/2025 20:36:06,5,5,5,YES!!!,-,Thank you very much to Sis Lila and Mas Yudis who have been mentors today.,Lilla,-
9/20/2025 20:36:14,5,5,5,YES!!!,nope,thx kak sheehan for having a same perspective about the medical things ,Sheehan,nope
9/20/2025 20:38:16,5,3,5,YES!!!,"i hopee next time, bisa dilaksanakan di pagi or siang huhu ;(",What a beautiful vibeee💗,Ucup :),Very fun to have sessions with kak ucuppp
9/20/2025 20:40:04,5,5,5,YES!!!,"So glad to be back to the session 😁, and bring back the mini games please ","Shoutout to ucup for preparing a role play game so the conversation can run smoothly and fun. And it's fun to be ""a bad guy"" sometimes 😹",Ucup :),"As i said it before, ucup bring a new model of conversation by making RP. but we need more time lol.. so fun 😆"
9/20/2025 20:40:46,5,5,5,YES!!!,I'm enjoy all of the session and i don't have any critucism for this community. For suggestions maybe increase this community meeting ? Haha ngelunjak ,"Shoutout to ka lila cuz she's very supporting me, and shoutout to ka yudis cuz he's a good listening ",Yudis,"Actually the momod is ka yudhis and ka lilaa, so both of you is so open and support a new commers"
9/20/2025 20:45:03,5,5,5,YES!!!,"Nothing, that's a great session","Thank you so much for kak Tasya, such a warming person and really kind :)",Tasya,"Nothing, I hope I can talk more with her"
9/20/2025 21:13:11,4,4,5,YES!!!,kegiatan sangat menarik dan layak untuk diikuti kembali.,makasi Kak tasya dan teman2 yang baik selama sesi sharing kali ini.,Tasya,-
9/21/2025 1:04:36,5,5,5,YES!!!,"the event organizers were super energetic and welcoming.
I thought the small group setup was really clever. It's way easier to actually talk and connect, made it feel more intimate and not a speech to a crowd, per say. An hour flew by so fast because the conversations felt natural and never awkward.

It was refreshing to meet people from so many different walks of life, it felt like a crash course in perspectives as much as in English.

Maybe after the small group talks, leave a few minutes for open mingling, it’d be nice to casually chat with the other groups too, I felt really comfortable in my group with kak Ekky, kak Niko and kak Putri, but also a bit disconnected from everyone else. Totally understand the time crunch though! just a quick suggestion if that resonates with you guys :)","Shoutout to absolutely everyone and especially all of the kakak kakak event organizers. You guys were incredible and I hope you know how much we appreciate all the effort it takes to put something like this together, because of that, we get to just show up and enjoy --so just know it doesn’t go unnoticed, I hope all of u have a lovely night just as much as we did",Ekky,"oh, I already mentioned this in the previous page :) much love!"
9/21/2025 6:14:21,5,5,5,YES!!!,,,Ekky,
9/26/2025 20:29:02,5,5,5,YES!!!,I think its all good,Shoutout to kak aulia who conducted the session rlly well,Aulia,I love everything 
9/26/2025 20:29:16,4,4,3,YES!!!,,,Azmi,
9/26/2025 20:30:06,5,5,5,YES!!!,Yaa it's great.. nice positive community ,All of you are great!,Ucup :),It's great momod!
9/26/2025 20:30:17,5,5,5,YES!!!,So cool this community to learning my english ,,Yudis,Good guy wkwk
9/26/2025 20:31:00,3,5,3,Not Really~,Saya menyarankan menyelesaikan pekerjaan masing2 sambil mengobrol biasa daripada terlalu banyak game,"Mas hadyan, mbak mia, mbak azmi",Azmi,
9/26/2025 20:37:05,4,3,3,YES!!!,I want to focus on talking. And organizing thoughts process. And got support on Keminggris community,Shoutout to everyone that create this community for supporting people to have confident to talk in english,Yudis,Its enjoyable and fun
10/4/2025 20:40:54,5,5,5,YES!!!,None,Lilla for coming up with fun game for our group.,Lilla,None
10/4/2025 20:41:00,4,5,5,YES!!!,Maybe we can go with spicier topic 😂,Shoutout to Mai and Vincent for helping me to translate some words and for bringing some topics too,Vincent,Vincent is great. 
10/4/2025 20:41:54,5,5,5,YES!!!,I think it would be fun kalau ada geraknya ,"Shout out to my moddos and team, cant wait to join every week to cennect with others",Tasya & Tifa,very helpful & fun would like to talk for hours
10/4/2025 20:42:29,5,5,5,YES!!!,,i really like all of my partners in my group! omg i love it so so so much hahahah,Tasya & Tifa,both of them really super fun and they always encourage us to always having a great time hahaha
10/4/2025 20:42:32,5,5,5,YES!!!,diperbanyak kuotanya👀,"thanks to Kak Ucup, bikin sesi kelompok ga canggung dan seperti sudah kenal lama. Hope u have a good day, always. ",Ucup :),"nothing, cause the moderator SOOOOOOOOOO GAWDDD"
10/4/2025 20:42:45,5,5,5,YES!!!,i think bilingual hehhe biar more clearly,THANK TO KAK LILAAA HAPPY TO HAVE YOU AS A MOMOD,Lilla,kak lilla was so fun
10/4/2025 20:43:01,5,5,5,YES!!!,"Nothing, everything is perfect just how the way this community. I love this community more than i expect. ",For Kak Tasya and Tifa all of you amazing. I love you both. Also my new friends. You really ❤️🫀🫶🏻🤗😎🌊😌😘😚🔥🤭😚🤩😍🥰😗,Tasya & Tifa,"Nothing, my momod is loveable. I love both of my momod 😗🥰😍🤩😚🤭🔥😘😎🤗🌊🫶🏻🫀❤️"
10/4/2025 20:43:15,5,5,5,YES!!!,"Iam not critical, because it activity is fun and exciting ",Thank you for mas ucup for guide in discussion today.,Ucup :),"I don't have critical, because all activities went smoothly and were fun"
10/4/2025 20:43:17,5,5,5,YES!!!,"i dont have any suggestions, you guys are amazing. I love to being here and I love u guys so much. THANK YOU 😩🫶",appreciation to ka ekky for being so easy going person so we can just flow with the convo without feel akward. Hope to see u very soon ka ekky XD,Ekky,"YOU ALREADY DOING GREATT KAKK, FIGHTING ON YOUR WORKKK"
